ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),CE,Score Unified,Explained Var(%),P,p-value,Sig_Hochber
0,1,0,60,42,"[8671, 12705, 12785, 13013, 1337, 898, 6433, 1101, 5495, 1567, 2436, 8702, 12816, 12847, 12878, 12909, 12940, 13044, 13075, 13106, 13137, 13168, 13199, 13230, 13261, 13292, 13323, 13354, 13385, 13416, 13447, 13478, 13509, 13599, 13630, 13661, 13728, 13759, 13982, 14013, 3004, 12668, 8444]",8.512,0.0,7.746,0.184,0.121,25.59,0.8184281934713993,0.9999999999999998,False
1,1,0,60,60,"[13540, 8720, 13669, 14034, 11784, 117, 7850, 11689, 11564, 11190, 13780, 10075, 11438, 11314, 10449, 2382, 5441, 9622, 8803, 844, 8352, 2951, 6379, 11969, 12252, 9178, 13879, 13923, 8674, 12708, 12788, 12819, 12850, 12881, 12912, 12943, 13017, 13048, 13079, 13110, 13141, 13172, 13203, 13234, 13265, 13296, 13327, 13358, 13389, 13420, 13451, 13482, 13599, 13630, 13728, 13982, 10770, 11836, 7889, 10494, 12005]",8.255,0.0,7.746,0.184,0.134,5.96,0.8184281934713993,0.9999999999999998,False
2,1,0,60,42,"[2070, 3113, 11386, 11761, 12519, 11636, 1039, 11261, 5607, 6488, 8558, 9828, 2589, 11511, 8604, 9889, 10686, 13838, 12136, 8031, 12416, 66, 8280, 8200, 7837, 1280, 12067, 10579, 9167, 8527, 733, 234, 495, 9483, 1513, 614, 9098, 12458, 9545, 10373, 10433, 12628, 372]",6.352,0.197,4.504,0.102,0.22,16.42,0.000476327463039092,1.9074023931363277e-82,True
3,1,0,60,44,"[10615, 10894, 10934, 10853, 9421, 10521, 7998, 9458, 9522, 7920, 12105, 10809, 8236, 9698, 12042, 8109, 12375, 9587, 12327, 10654, 7953, 11468, 8522, 9792, 8316, 9748, 8156, 12216, 11718, 9659, 12289, 10554, 365, 11594, 12452, 411, 8388, 11218, 777, 11344, 649, 8837, 726, 12413, 9304]",7.084,0.554,5.622,0.109,0.18,2.33,0.8296581421346458,0.9999999999999994,False
4,1,0,60,114,"[3827, 10240, 1353, 3575, 2936, 3328, 4051, 2852, 9078, 1202, 3160, 2313, 10184, 7692, 7440, 7188, 4275, 5675, 3519, 1865, 7636, 2481, 5899, 1585, 2257, 6992, 5199, 2117, 4975, 6740, 6936, 5368, 3743, 7132, 3883, 8882, 2033, 6179, 5283, 4555, 1493, 5116, 6544, 4751, 6375, 5507, 7075, 1146, 6599, 4107, 3659, 7748, 7496, 1752, 5731, 6068, 2200, 4471, 952, 4836, 2795, 7327, 2677, 4920, 3216, 5816, 1948, 8965, 2621, 2537, 3019, 7271, 6236, 6823, 1409, 4219, 3463, 1641, 3939, 10324, 4612, 5955, 1258, 6320, 5031, 6012, 3995, 4331, 5564, 2369, 2733, 7551, 1696, 1008, 4696, 9022, 6124, 3077, 5423, 3272, 4416, 4163, 6880, 7384, 10128, 6684, 1809, 3407, 191, 48, 597, 6458, 477, 690, 354]",5.405,0.677,2.869,0.193,0.364,75.29,0.8265993645992674,0.9999999999999999,False
5,1,0,60,50,"[10968, 11662, 11412, 3139, 2096, 12545, 9854, 92, 11287, 9124, 5633, 9615, 9913, 10399, 8584, 7822, 6514, 2615, 11161, 11538, 8344, 12245, 12406, 12637, 8628, 11747, 11496, 11622, 13864, 8460, 11372, 9486, 11247, 9549, 10709, 10549, 8026, 12440, 9268, 9332, 7948, 8264, 10580, 12132, 12070, 8183, 11782, 12481, 252, 11963, 10643]",6.934,0.725,3.918,0.117,0.253,5.07,0.8244140983091827,1.0000000000000007,False
6,1,0,60,110,"[5868, 5644, 4244, 6568, 4944, 4720, 5196, 4468, 6092, 2197, 6344, 7268, 2645, 1143, 7520, 5140, 3016, 10181, 3459, 2792, 7072, 1917, 1721, 3683, 4020, 3212, 6820, 6624, 2849, 8962, 5000, 7324, 3297, 3516, 5364, 6988, 3907, 5700, 1665, 6764, 4776, 1199, 6176, 7772, 10320, 2113, 7716, 4552, 3572, 5420, 8906, 7464, 5504, 3796, 4076, 1973, 1433, 2932, 9074, 2282, 1861, 5280, 2365, 5924, 3156, 10237, 3740, 2730, 1377, 3073, 5812, 7633, 1490, 4300, 2478, 976, 4159, 7212, 2534, 3851, 1609, 4664, 4888, 2030, 7409, 3353, 1255, 6036, 4383, 6288, 9019, 5980, 921, 6905, 3964, 10125, 7157, 6709, 1777, 4607, 8851, 5084, 5756, 7577, 3628, 4832, 5559, 6231, 6457, 301, 790]",5.358,0.747,2.488,0.22,0.384,74.62,0.8269991475198105,0.9999999999999991,False
7,1,0,60,116,"[2163, 7766, 7038, 3425, 5414, 7234, 1631, 7458, 2359, 1883, 4518, 1939, 6086, 6142, 3677, 3010, 4153, 4686, 3206, 3901, 5834, 6814, 10286, 7290, 2639, 6366, 6758, 6310, 4938, 5946, 6590, 9068, 10342, 2926, 3150, 6982, 4742, 5134, 8928, 7710, 1687, 6534, 7514, 1399, 5358, 942, 2107, 3621, 4322, 4994, 8872, 10175, 4266, 5666, 5246, 5190, 5890, 2555, 3790, 4882, 1221, 7178, 4462, 3346, 1743, 1165, 3845, 5777, 1343, 4070, 6870, 6001, 2303, 5553, 7570, 7654, 6702, 4377, 3067, 1995, 2247, 4014, 3262, 1455, 5722, 1575, 6926, 4630, 3565, 7402, 10230, 5050, 6254, 1109, 2724, 2843, 3958, 7122, 3510, 5301, 4210, 1827, 2471, 4826, 6198, 8984, 6450, 7346, 999, 3733, 4573, 6646, 2786, 10118, 588, 809, 681]",5.431,0.989,2.753,0.208,0.374,72.01,0.8306788178852699,1.0000000000000004,False
8,1,0,60,36,"[1070, 5464, 867, 2406, 2973, 6402, 8376, 10793, 8095, 12201, 12276, 8414, 11990, 9646, 12028, 9735, 10470, 9781, 9200, 7871, 12364, 10094, 8823, 12314, 276, 139, 10404, 9575, 8307, 12094, 8226, 9684, 9130, 765, 8146, 9511, 1317]",6.288,1.068,5.048,0.087,0.189,11.7,0.0018810923698645155,7.423533809161621e-47,False
9,1,0,60,54,"[11044, 11104, 10984, 9946, 8488, 10025, 12484, 12444, 9986, 9382, 8528, 10066, 12176, 8674, 8705, 12708, 12788, 12819, 12850, 12881, 12912, 12943, 13017, 13048, 13079, 13110, 13141, 13172, 13203, 13234, 13265, 13296, 13327, 13358, 13389, 13420, 13451, 13482, 13513, 13599, 13630, 13661, 13728, 13759, 13982, 14013, 9329, 616, 9862, 12252, 9265, 11144, 11872, 10768, 8069]",8.239,1.35,7.746,0.206,0.137,4.3,0.8227477137160821,1.0000000000000007,False
